,Unnamed: 0,iteration,phrase,sub_component,activating_phrase,max_value,max_token,feature_index,num_tokens_activated,total_activation,raw_data
0,0,0,references to children and parenting experiences,child development,Parents should monitor their child's milestones and development to ensure healthy growth.,37.52466583251953,<bos>,4310,5,65.31362819671631,
1994,738,49,closing braces in code,coding standards,Adhering to coding standards ensures consistency and readability across the codebase.,0.0,<bos>,8327,0,0.0,"{'id': 'not_saved', 'tokens': ['<bos>', 'Ad', 'her', 'ing', ' to', ' coding', ' standards', ' ensures', ' consistency', ' and', ' readability', ' across', ' the', ' code', 'base', '.'], 'values': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'maxValue': 0, 'minValue': 0, 'modelId': 'gemma-2-2b', 'layer': '20-gemmascope-res-16k', 'index': 8327, 'creatorId': '', 'dataIndex': None, 'dataSource': 'Neuronpedia', 'maxValueTokenIndex': 0, 'createdAt': '2024-09-29T02:27:10.244Z'}"
1985,729,49,closing braces in code,code formatting,Consistent code formatting makes the code easier to read and maintain.,0.0,<bos>,8327,0,0.0,"{'id': 'not_saved', 'tokens': ['<bos>', 'Consistent', ' code', ' formatting', ' makes', ' the', ' code', ' easier', ' to', ' read', ' and', ' maintain', '.'], 'values': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'maxValue': 0, 'minValue': 0, 'modelId': 'gemma-2-2b', 'layer': '20-gemmascope-res-16k', 'index': 8327, 'creatorId': '', 'dataIndex': None, 'dataSource': 'Neuronpedia', 'maxValueTokenIndex': 0, 'createdAt': '2024-09-29T02:26:52.800Z'}"
1986,730,49,closing braces in code,code formatting,Using automatic code formatting tools can help standardize the style across the codebase.,0.0,<bos>,8327,0,0.0,"{'id': 'not_saved', 'tokens': ['<bos>', 'Using', ' automatic', ' code', ' formatting', ' tools', ' can', ' help', ' standardize', ' the', ' style', ' across', ' the', ' code', 'base', '.'], 'values': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'maxValue': 0, 'minValue': 0, 'modelId': 'gemma-2-2b', 'layer': '20-gemmascope-res-16k', 'index': 8327, 'creatorId': '', 'dataIndex': None, 'dataSource': 'Neuronpedia', 'maxValueTokenIndex': 0, 'createdAt': '2024-09-29T02:26:54.765Z'}"
1987,731,49,closing braces in code,code formatting,Code reviews often include checks for proper code formatting to ensure consistency.,0.0,<bos>,8327,0,0.0,"{'id': 'not_saved', 'tokens': ['<bos>', 'Code', ' reviews', ' often', ' include', ' checks', ' for', ' proper', ' code', ' formatting', ' to', ' ensure', ' consistency', '.'], 'values': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'maxValue': 0, 'minValue': 0, 'modelId': 'gemma-2-2b', 'layer': '20-gemmascope-res-16k', 'index': 8327, 'creatorId': '', 'dataIndex': None, 'dataSource': 'Neuronpedia', 'maxValueTokenIndex': 0, 'createdAt': '2024-09-29T02:26:56.789Z'}"
1988,732,49,closing braces in code,debugging techniques,Knowledge of debugging techniques is essential for troubleshooting errors in the code.,0.0,<bos>,8327,0,0.0,"{'id': 'not_saved', 'tokens': ['<bos>', 'Knowledge', ' of', ' debugging', ' techniques', ' is', ' essential', ' for', ' troubleshooting', ' errors', ' in', ' the', ' code', '.'], 'values': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'maxValue': 0, 'minValue': 0, 'modelId': 'gemma-2-2b', 'layer': '20-gemmascope-res-16k', 'index': 8327, 'creatorId': '', 'dataIndex': None, 'dataSource': 'Neuronpedia', 'maxValueTokenIndex': 0, 'createdAt': '2024-09-29T02:26:58.704Z'}"
1989,733,49,closing braces in code,debugging techniques,Using print statements is a common debugging technique to track the flow of code execution.,0.0,<bos>,8327,0,0.0,"{'id': 'not_saved', 'tokens': ['<bos>', 'Using', ' print', ' statements', ' is', ' a', ' common', ' debugging', ' technique', ' to', ' track', ' the', ' flow', ' of', ' code', ' execution', '.'], 'values': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'maxValue': 0, 'minValue': 0, 'modelId': 'gemma-2-2b', 'layer': '20-gemmascope-res-16k', 'index': 8327, 'creatorId': '', 'dataIndex': None, 'dataSource': 'Neuronpedia', 'maxValueTokenIndex': 0, 'createdAt': '2024-09-29T02:27:00.591Z'}"
1990,734,49,closing braces in code,debugging techniques,Advanced debugging tools provide insights into the code's behavior and help in identifying issues quickly.,0.0,<bos>,8327,0,0.0,"{'id': 'not_saved', 'tokens': ['<bos>', 'Advanced', ' debugging', ' tools', ' provide', ' insights', ' into', ' the', ' code', ""'"", 's', ' behavior', ' and', ' help', ' in', ' identifying', ' issues', ' quickly', '.'], 'values': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'maxValue': 0, 'minValue': 0, 'modelId': 'gemma-2-2b', 'layer': '20-gemmascope-res-16k', 'index': 8327, 'creatorId': '', 'dataIndex': None, 'dataSource': 'Neuronpedia', 'maxValueTokenIndex': 0, 'createdAt': '2024-09-29T02:27:02.376Z'}"
1991,735,49,closing braces in code,software development,"Software development involves the creation, testing, and maintenance of software applications.",0.0,<bos>,8327,0,0.0,"{'id': 'not_saved', 'tokens': ['<bos>', 'Software', ' development', ' involves', ' the', ' creation', ',', ' testing', ',', ' and', ' maintenance', ' of', ' software', ' applications', '.'], 'values': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'maxValue': 0, 'minValue': 0, 'modelId': 'gemma-2-2b', 'layer': '20-gemmascope-res-16k', 'index': 8327, 'creatorId': '', 'dataIndex': None, 'dataSource': 'Neuronpedia', 'maxValueTokenIndex': 0, 'createdAt': '2024-09-29T02:27:04.340Z'}"
1992,736,49,closing braces in code,software development,Continuous learning is crucial for staying updated with the latest trends in software development.,0.0,<bos>,8327,0,0.0,"{'id': 'not_saved', 'tokens': ['<bos>', 'Continuous', ' learning', ' is', ' crucial', ' for', ' staying', ' updated', ' with', ' the', ' latest', ' trends', ' in', ' software', ' development', '.'], 'values': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'maxValue': 0, 'minValue': 0, 'modelId': 'gemma-2-2b', 'layer': '20-gemmascope-res-16k', 'index': 8327, 'creatorId': '', 'dataIndex': None, 'dataSource': 'Neuronpedia', 'maxValueTokenIndex': 0, 'createdAt': '2024-09-29T02:27:06.545Z'}"
